Longitude,Latitude,Community,IncorporationType,AreaType,Population,Year,Is_Subsistence_Use,Is_Essential_Air_Service,Is_Environmentally_Threatened
-133.3478063,57.46425365,Hobart Bay,CDP,Place of Interest,1,2016,1,0,0
-161.4490947,60.91380831,Akiachak,Unincorporated CDP,Community,675,2014,1,0,1
-161.1290202,65.9776538400001,Buckland,2nd Class City,Community,482,2014,1,0,1
-149.1083689,61.5997112700001,Matanuska-Susitna Borough,2nd Class Borough,Community,100178,2015,1,0,0
-165.5905277,61.5286181800001,Chevak,2nd Class City,Community,1023,2015,1,0,1
-135.5462038,59.31301367,Lutak,CDP,Place of Interest,78,2015,1,0,0
-162.9885,67.5718168000001,Noatak,CDP,Community,583,2016,1,0,1
-144.947406,61.7374181000001,Kenny Lake,Unincorporated CDP,Community,341,2014,1,0,0
-141.9341786,62.9617709300001,Northway,Unincorporated CDP,Place of Interest,64,2016,1,0,0
-162.0294973,60.2189059200001,Eek,2nd Class City,Community,349,2014,1,0,1
-146.5882565,62.29986189,Lake Louise,CDP,Community,53,2014,1,0,0
-135.338623,57.0490212600001,Sitka,Unified Home Rule Borough,Community,9061,2014,1,1,0
-162.8870639,59.9594387400001,Kongiganak,Unincorporated CDP,Community,501,2015,1,0,1
-160.3644017,61.5123629700001,Lower Kalskag,2nd Class City,Community,284,2015,1,0,1
-157.7198137,58.9051910300001,Portage Creek,Unincorporated CDP,Place of Interest,1,2016,1,0,1
